id,Nama,Age,Balanced,No 2b Thread-No,No 3 Thread-No,Previous Balanced,Average Balanced,No 1 Thread-No,Free Transfer,No 2a Thread-No
20,Mateo,47,231,pool-4-thread-9,pool-5-thread-3,221,198,pool-2-thread-4,0,pool-3-thread-10
21,Jack,37,195,pool-4-thread-9,pool-5-thread-3,185,139,pool-2-thread-1,0,pool-3-thread-10
22,Owen,43,55,pool-4-thread-9,pool-5-thread-4,65,60,pool-2-thread-1,0,pool-3-thread-5
23,Theodore,32,216,pool-4-thread-9,pool-5-thread-3,206,141,pool-2-thread-2,0,pool-3-thread-5
24,Aiden,50,118,pool-4-thread-9,pool-5-thread-3,128,123,pool-2-thread-10,5,pool-3-thread-9
25,Samuel,39,83,pool-4-thread-9,pool-5-thread-4,64,73,pool-2-thread-10,0,pool-3-thread-9
26,Joseph,52,193,pool-4-thread-9,pool-5-thread-4,183,140,pool-2-thread-5,0,pool-3-thread-6
27,John,49,223,pool-4-thread-9,pool-5-thread-4,213,146,pool-2-thread-6,0,pool-3-thread-9
28,David,47,124,pool-4-thread-9,pool-5-thread-5,139,131,pool-2-thread-3,5,pool-3-thread-9
29,Wyatt,40,84,pool-4-thread-9,pool-5-thread-4,119,101,pool-2-thread-3,0,pool-3-thread-7
30,Matthew,39,57,pool-4-thread-9,pool-5-thread-4,64,60,pool-2-thread-3,0,pool-3-thread-1
31,Luke,26,144,pool-4-thread-9,pool-5-thread-4,82,113,pool-2-thread-3,5,pool-3-thread-1
32,Asher,30,133,pool-4-thread-9,pool-5-thread-5,73,103,pool-2-thread-7,5,pool-3-thread-3
33,Carter,45,186,pool-4-thread-9,pool-5-thread-4,176,171,pool-2-thread-8,0,pool-3-thread-1
34,Julian,48,101,pool-4-thread-3,pool-5-thread-5,152,126,pool-2-thread-9,5,pool-3-thread-1
35,Grayson,31,120,pool-4-thread-3,pool-5-thread-4,150,135,pool-2-thread-4,5,pool-3-thread-8
36,Leo,34,215,pool-4-thread-1,pool-5-thread-1,205,177,pool-2-thread-1,0,pool-3-thread-1
37,Jayden,21,51,pool-4-thread-1,pool-5-thread-4,179,115,pool-2-thread-2,0,pool-3-thread-2
38,Gabriel,46,57,pool-4-thread-1,pool-5-thread-4,129,93,pool-2-thread-1,0,pool-3-thread-4
39,Isaac,45,132,pool-4-thread-1,pool-5-thread-4,82,107,pool-2-thread-2,5,pool-3-thread-4
40,Lincoln,24,135,pool-4-thread-4,pool-5-thread-1,152,143,pool-2-thread-10,5,pool-3-thread-4
41,Anthony,27,192,pool-4-thread-4,pool-5-thread-1,182,167,pool-2-thread-5,0,pool-3-thread-4
42,Hudson,45,88,pool-4-thread-5,pool-5-thread-6,105,96,pool-2-thread-5,0,pool-3-thread-3
43,Dylan,29,234,pool-4-thread-4,pool-5-thread-6,224,190,pool-2-thread-5,0,pool-3-thread-6
44,Ezra,22,65,pool-4-thread-5,pool-5-thread-6,177,121,pool-2-thread-5,0,pool-3-thread-5
45,Thomas,31,80,pool-4-thread-4,pool-5-thread-7,93,86,pool-2-thread-5,0,pool-3-thread-3
46,Charles,44,79,pool-4-thread-10,pool-5-thread-6,127,103,pool-2-thread-5,0,pool-3-thread-5
47,Christopher,31,229,pool-4-thread-4,pool-5-thread-6,219,158,pool-2-thread-5,0,pool-3-thread-5
48,Jaxon,41,64,pool-4-thread-5,pool-5-thread-6,128,96,pool-2-thread-5,0,pool-3-thread-5
49,Maverick,40,66,pool-4-thread-5,pool-5-thread-7,147,106,pool-2-thread-8,0,pool-3-thread-5
50,Josiah,43,145,pool-4-thread-10,pool-5-thread-6,74,109,pool-2-thread-7,5,pool-3-thread-5
51,Isaiah,20,220,pool-4-thread-10,pool-5-thread-7,210,168,pool-2-thread-8,0,pool-3-thread-5
52,Andrew,51,149,pool-4-thread-10,pool-5-thread-8,137,143,pool-2-thread-7,5,pool-3-thread-5
53,Elias,45,215,pool-4-thread-6,pool-5-thread-6,205,141,pool-2-thread-3,0,pool-3-thread-5
54,Joshua,46,123,pool-4-thread-7,pool-5-thread-6,100,111,pool-2-thread-7,5,pool-3-thread-5
55,Nathan,53,119,pool-4-thread-7,pool-5-thread-6,118,118,pool-2-thread-7,5,pool-3-thread-5
56,Caleb,23,191,pool-4-thread-7,pool-5-thread-6,181,139,pool-2-thread-7,0,pool-3-thread-5
57,Ryan,33,202,pool-4-thread-7,pool-5-thread-8,192,115,pool-2-thread-7,0,pool-3-thread-5
58,Adrian,40,191,pool-4-thread-7,pool-5-thread-2,181,116,pool-2-thread-7,0,pool-3-thread-5
59,Miles,32,114,pool-4-thread-8,pool-5-thread-6,134,124,pool-2-thread-7,5,pool-3-thread-5
60,Eli,23,62,pool-4-thread-7,pool-5-thread-2,170,116,pool-2-thread-7,0,pool-3-thread-5
61,Nolan,20,122,pool-4-thread-7,pool-5-thread-6,91,106,pool-2-thread-7,5,pool-3-thread-5
62,Christian,21,216,pool-4-thread-8,pool-5-thread-2,206,131,pool-2-thread-7,0,pool-3-thread-5
63,Aaron,21,145,pool-4-thread-2,pool-5-thread-2,124,134,pool-2-thread-7,5,pool-3-thread-5
64,Cameron,29,229,pool-4-thread-8,pool-5-thread-2,219,184,pool-2-thread-7,0,pool-3-thread-5
65,Ezekiel,50,139,pool-4-thread-2,pool-5-thread-2,112,125,pool-2-thread-7,5,pool-3-thread-5
66,Colton,27,133,pool-4-thread-8,pool-5-thread-3,154,143,pool-2-thread-7,5,pool-3-thread-5
67,Luca,29,53,pool-4-thread-7,pool-5-thread-3,96,74,pool-2-thread-7,0,pool-3-thread-5
68,Landon,52,224,pool-4-thread-8,pool-5-thread-3,214,144,pool-2-thread-7,0,pool-3-thread-5
69,Hunter,36,190,pool-4-thread-7,pool-5-thread-3,180,118,pool-2-thread-7,0,pool-3-thread-5
70,Jonathan,37,63,pool-4-thread-8,pool-5-thread-3,171,117,pool-2-thread-7,0,pool-3-thread-5
71,Santiago,43,118,pool-4-thread-8,pool-5-thread-3,154,136,pool-2-thread-7,5,pool-3-thread-5
72,Axel,31,126,pool-4-thread-10,pool-5-thread-3,95,110,pool-2-thread-7,5,pool-3-thread-5
73,Easton,46,91,pool-4-thread-3,pool-5-thread-3,168,129,pool-2-thread-7,0,pool-3-thread-5
74,Cooper,43,106,pool-4-thread-3,pool-5-thread-3,197,151,pool-2-thread-7,5,pool-3-thread-5
75,Jeremiah,30,94,pool-4-thread-10,pool-5-thread-3,191,142,pool-2-thread-7,0,pool-3-thread-5
76,Angel,28,82,pool-4-thread-6,pool-5-thread-3,124,103,pool-2-thread-7,0,pool-3-thread-5
77,Roman,52,110,pool-4-thread-1,pool-5-thread-3,73,91,pool-2-thread-7,5,pool-3-thread-5
78,Connor,28,97,pool-4-thread-6,pool-5-thread-1,163,130,pool-2-thread-7,0,pool-3-thread-5
79,Jameson,48,231,pool-4-thread-1,pool-5-thread-3,221,191,pool-2-thread-7,0,pool-3-thread-5
80,Robert,40,123,pool-4-thread-1,pool-5-thread-5,102,112,pool-2-thread-7,5,pool-3-thread-5
81,Greyson,32,188,pool-4-thread-4,pool-5-thread-3,178,154,pool-2-thread-7,0,pool-3-thread-5
82,Jordan,49,108,pool-4-thread-1,pool-5-thread-5,102,105,pool-2-thread-7,5,pool-3-thread-5
83,Ian,40,74,pool-4-thread-9,pool-5-thread-3,136,105,pool-2-thread-7,0,pool-3-thread-5
84,Carson,41,94,pool-4-thread-1,pool-5-thread-5,92,93,pool-2-thread-7,0,pool-3-thread-5
85,Jaxson,44,101,pool-4-thread-1,pool-5-thread-3,158,129,pool-2-thread-7,5,pool-3-thread-5
86,Leonardo,35,122,pool-4-thread-1,pool-5-thread-5,104,113,pool-2-thread-7,5,pool-3-thread-5
87,Nicholas,53,193,pool-4-thread-1,pool-5-thread-5,183,110,pool-2-thread-7,0,pool-3-thread-5
88,Dominic,50,113,pool-4-thread-9,pool-5-thread-5,66,89,pool-2-thread-7,5,pool-3-thread-5
89,Austin,21,120,pool-4-thread-2,pool-5-thread-5,96,108,pool-2-thread-7,5,pool-3-thread-5
90,Everett,51,95,pool-4-thread-2,pool-5-thread-4,190,142,pool-2-thread-7,0,pool-3-thread-5
91,Brooks,20,193,pool-4-thread-2,pool-5-thread-5,183,130,pool-2-thread-7,0,pool-3-thread-5
92,Xavier,20,126,pool-4-thread-7,pool-5-thread-4,103,114,pool-2-thread-7,5,pool-3-thread-5
93,Kai,39,222,pool-4-thread-2,pool-5-thread-5,212,125,pool-2-thread-7,0,pool-3-thread-5
94,Jose,38,129,pool-4-thread-7,pool-5-thread-7,148,138,pool-2-thread-7,5,pool-3-thread-1
95,Parker,39,144,pool-4-thread-7,pool-5-thread-4,154,149,pool-2-thread-7,5,pool-3-thread-1
96,Adam,39,132,pool-4-thread-2,pool-5-thread-4,59,95,pool-2-thread-7,5,pool-3-thread-7
97,Jace,28,212,pool-4-thread-8,pool-5-thread-7,202,168,pool-2-thread-7,0,pool-3-thread-1
98,Wesley,44,137,pool-4-thread-8,pool-5-thread-6,70,103,pool-2-thread-7,5,pool-3-thread-1
99,Kayden,29,86,pool-4-thread-8,pool-5-thread-2,50,68,pool-2-thread-7,0,pool-3-thread-7
100,Silas,30,123,pool-4-thread-8,pool-5-thread-6,86,104,pool-2-thread-7,5,pool-3-thread-7
101,Bennett,50,50,pool-4-thread-8,,178,114,pool-2-thread-7,0,pool-3-thread-1
102,Declan,24,53,pool-4-thread-8,,134,93,pool-2-thread-7,0,pool-3-thread-7
103,Waylon,37,99,pool-4-thread-8,,84,91,pool-2-thread-7,0,pool-3-thread-1
104,Weston,47,51,pool-4-thread-8,,148,99,pool-2-thread-7,0,pool-3-thread-7
105,Evan,29,207,pool-4-thread-8,,182,190,pool-2-thread-7,0,pool-3-thread-1
106,Emmett,23,71,pool-4-thread-3,,191,131,pool-2-thread-7,0,pool-3-thread-7
107,Micah,50,224,pool-4-thread-2,,199,125,pool-2-thread-7,0,pool-3-thread-8
108,Ryder,46,89,pool-4-thread-3,,167,128,pool-2-thread-7,0,pool-3-thread-1
109,Beau,31,77,pool-4-thread-10,,52,64,pool-2-thread-7,0,pool-3-thread-1
110,Damian,28,64,pool-4-thread-3,,177,120,pool-2-thread-7,0,pool-3-thread-1
111,Brayden,26,214,pool-4-thread-3,,189,181,pool-2-thread-7,0,pool-3-thread-1
112,Gael,45,140,pool-4-thread-10,,119,129,pool-2-thread-7,5,pool-3-thread-1
113,Rowan,52,121,pool-4-thread-10,,159,140,pool-2-thread-7,5,pool-3-thread-1
114,Harrison,39,197,pool-4-thread-10,,172,154,pool-2-thread-7,0,pool-3-thread-1
115,Bryson,49,50,pool-4-thread-10,,177,113,pool-2-thread-7,0,pool-3-thread-1
116,Sawyer,47,127,pool-4-thread-6,,93,110,pool-2-thread-7,5,pool-3-thread-1
117,Amir,25,85,pool-4-thread-5,,59,72,pool-2-thread-7,0,pool-3-thread-1
118,Kingston,42,50,pool-4-thread-5,,167,108,pool-2-thread-7,0,pool-3-thread-2
119,Jason,35,88,pool-4-thread-6,,51,69,pool-2-thread-7,0,pool-3-thread-10
120,Giovanni,39,105,pool-4-thread-6,,111,108,pool-2-thread-7,5,pool-3-thread-10
121,Vincent,25,135,pool-4-thread-5,,51,93,pool-2-thread-7,5,pool-3-thread-10
122,Ayden,39,122,pool-4-thread-4,,168,145,pool-2-thread-7,5,pool-3-thread-9
123,Chase,48,135,pool-4-thread-5,,153,144,pool-2-thread-7,5,pool-3-thread-9
124,Myles,40,138,pool-4-thread-5,,80,109,pool-2-thread-7,5,pool-3-thread-4
125,Diego,24,117,pool-4-thread-5,,64,90,pool-2-thread-7,5,pool-3-thread-9
126,Nathaniel,42,137,pool-4-thread-5,,197,167,pool-2-thread-7,5,pool-3-thread-9
127,Legend,21,96,pool-4-thread-5,,103,99,pool-2-thread-7,0,pool-3-thread-4
128,Jonah,51,97,pool-4-thread-5,,95,96,pool-2-thread-7,0,pool-3-thread-9
129,River,52,201,pool-4-thread-5,,176,167,pool-2-thread-7,0,pool-3-thread-4
130,Tyler,20,66,pool-4-thread-5,,142,104,pool-2-thread-7,0,pool-3-thread-4
131,Cole,29,55,pool-4-thread-5,,165,110,pool-2-thread-7,0,pool-3-thread-4
132,Braxton,23,185,pool-4-thread-5,,160,120,pool-2-thread-7,0,pool-3-thread-4
133,George,39,123,pool-4-thread-9,,65,94,pool-2-thread-7,5,pool-3-thread-9
134,Milo,29,206,pool-4-thread-9,,181,189,pool-2-thread-7,0,pool-3-thread-9
135,Zachary,29,78,pool-4-thread-1,,78,78,pool-2-thread-7,0,pool-3-thread-9
136,Ashton,23,59,pool-4-thread-9,,61,60,pool-2-thread-7,0,pool-3-thread-6
137,Luis,53,134,pool-4-thread-1,,74,104,pool-2-thread-7,5,pool-3-thread-6
138,Jasper,50,102,pool-4-thread-1,,122,112,pool-2-thread-7,5,pool-3-thread-6
139,Kaiden,23,210,pool-4-thread-9,,185,175,pool-2-thread-7,0,pool-3-thread-6
140,Adriel,28,104,pool-4-thread-7,,53,78,pool-2-thread-7,5,pool-3-thread-3
141,Gavin,26,204,pool-4-thread-7,,179,148,pool-2-thread-7,0,pool-3-thread-3
142,Bentley,49,134,pool-4-thread-7,,195,164,pool-2-thread-7,5,pool-3-thread-5
143,Calvin,42,145,pool-4-thread-7,,200,172,pool-2-thread-7,5,pool-3-thread-3
144,Zion,48,67,pool-4-thread-7,,57,62,pool-2-thread-7,0,pool-3-thread-5
145,Juan,45,129,pool-4-thread-9,,115,122,pool-2-thread-7,5,pool-3-thread-3
146,Maxwell,34,58,pool-4-thread-9,,189,123,pool-2-thread-7,0,pool-3-thread-5
147,Max,30,180,pool-4-thread-9,,155,155,pool-2-thread-7,0,pool-3-thread-5
148,Ryker,29,137,pool-4-thread-9,,104,120,pool-2-thread-7,5,pool-3-thread-5
149,Carlos,22,112,pool-4-thread-9,,179,145,pool-2-thread-7,5,pool-3-thread-5
150,Emmanuel,43,110,pool-4-thread-9,,119,114,pool-2-thread-7,5,pool-3-thread-5
151,Jayce,44,90,pool-4-thread-9,,126,108,pool-2-thread-7,0,pool-3-thread-5
152,Lorenzo,47,137,pool-4-thread-9,,105,121,pool-2-thread-7,5,pool-3-thread-5
153,Ivan,42,70,pool-4-thread-9,,139,104,pool-2-thread-7,0,pool-3-thread-5
154,Jude,49,66,pool-4-thread-8,,121,93,pool-2-thread-7,0,pool-3-thread-5
155,August,27,147,pool-4-thread-2,,76,111,pool-2-thread-7,5,pool-3-thread-5
156,Kevin,40,131,pool-4-thread-2,,110,120,pool-2-thread-7,5,pool-3-thread-5
157,Malachi,20,86,pool-4-thread-2,,69,77,pool-2-thread-7,0,pool-3-thread-5
158,Elliott,39,206,pool-4-thread-3,,181,164,pool-2-thread-7,0,pool-3-thread-5
159,Rhett,45,200,pool-4-thread-2,,175,165,pool-2-thread-7,0,pool-3-thread-5
160,Archer,24,202,pool-4-thread-2,,177,123,pool-2-thread-7,0,pool-3-thread-5
161,Karter,42,113,pool-4-thread-3,,52,82,pool-2-thread-7,5,pool-3-thread-7
162,Arthur,40,186,pool-4-thread-3,,161,121,pool-2-thread-7,0,pool-3-thread-1
163,Luka,20,119,pool-4-thread-3,,73,96,pool-2-thread-7,5,pool-3-thread-1
164,Elliot,24,139,pool-4-thread-10,,58,98,pool-2-thread-7,5,pool-3-thread-1
165,Thiago,23,78,pool-4-thread-3,,68,73,pool-2-thread-7,0,pool-3-thread-8
166,Brandon,27,116,pool-4-thread-10,,120,118,pool-2-thread-7,5,pool-3-thread-1
167,Camden,45,139,pool-4-thread-3,,148,143,pool-2-thread-7,5,pool-3-thread-1
168,Justin,22,109,pool-4-thread-10,,98,103,pool-2-thread-7,5,pool-3-thread-8
169,Jesus,25,225,pool-4-thread-3,,200,147,pool-2-thread-7,0,pool-3-thread-8
170,Maddox,27,128,pool-4-thread-3,,148,138,pool-2-thread-7,5,pool-3-thread-8
171,King,32,99,pool-4-thread-3,,183,141,pool-2-thread-7,0,pool-3-thread-8
172,Theo,28,52,pool-4-thread-3,,84,68,pool-2-thread-7,0,pool-3-thread-2
173,Enzo,39,132,pool-4-thread-3,,60,96,pool-2-thread-7,5,pool-3-thread-8
174,Matteo,30,58,pool-4-thread-3,,192,125,pool-2-thread-7,0,pool-3-thread-8
175,Emiliano,51,202,pool-4-thread-6,,177,160,pool-2-thread-7,0,pool-3-thread-2
176,Dean,45,202,pool-4-thread-6,,177,184,pool-2-thread-7,0,pool-3-thread-8
177,Hayden,39,118,pool-4-thread-4,,195,156,pool-2-thread-7,5,pool-3-thread-2
178,Finn,34,122,pool-4-thread-4,,79,100,pool-2-thread-7,5,pool-3-thread-8
179,Brody,52,59,pool-4-thread-4,,190,124,pool-2-thread-7,0,pool-3-thread-2
180,Antonio,32,179,pool-4-thread-5,,154,108,pool-2-thread-7,0,pool-3-thread-8
181,Abel,40,148,pool-4-thread-4,,188,168,pool-2-thread-7,5,pool-3-thread-2
182,Alex,34,76,pool-4-thread-4,,67,71,pool-2-thread-7,0,pool-3-thread-8
183,Tristan,30,131,pool-4-thread-4,,119,125,pool-2-thread-7,5,pool-3-thread-2
184,Graham,51,93,pool-4-thread-5,,61,77,pool-2-thread-7,0,pool-3-thread-2
185,Zayden,31,91,pool-4-thread-4,,102,96,pool-2-thread-7,0,pool-3-thread-2
186,Judah,27,137,pool-4-thread-5,,113,125,pool-2-thread-7,5,pool-3-thread-2
187,Xander,44,65,pool-4-thread-4,,159,112,pool-2-thread-7,0,pool-3-thread-2
188,Miguel,35,177,pool-4-thread-5,,152,132,pool-2-thread-7,0,pool-3-thread-2
189,Atlas,48,145,pool-4-thread-4,,144,144,pool-2-thread-7,5,pool-3-thread-2
190,Messiah,27,67,pool-4-thread-5,,66,66,pool-2-thread-7,0,pool-3-thread-2
191,Barrett,21,88,pool-4-thread-4,,144,116,pool-2-thread-7,0,pool-3-thread-2
192,Tucker,25,204,pool-4-thread-5,,179,182,pool-2-thread-7,0,pool-3-thread-2
193,Timothy,32,132,pool-4-thread-1,,63,97,pool-2-thread-7,5,pool-3-thread-2
194,Alan,40,97,pool-4-thread-1,,51,74,pool-2-thread-7,0,pool-3-thread-10
195,Edward,45,137,pool-4-thread-7,,104,120,pool-2-thread-7,5,pool-3-thread-4
196,Leon,53,65,pool-4-thread-1,,197,131,pool-2-thread-7,0,pool-3-thread-4
197,Dawson,24,107,pool-4-thread-1,,151,129,pool-2-thread-7,5,pool-3-thread-4
198,Eric,47,130,pool-4-thread-1,,73,101,pool-2-thread-7,5,pool-3-thread-9
199,Ace,32,192,pool-4-thread-1,,167,134,pool-2-thread-7,0,pool-3-thread-9
200,Victor,53,60,pool-4-thread-7,,148,104,pool-2-thread-7,0,pool-3-thread-9
